Material_Type,Product_Type,Industry,Strength (1-10),Weight Capacity (kg),Biodegradability Score (1-10),Recyclability (%),Cost (USD),CO2 Emission (kg CO2/kg)
Kraft Paper,Book Packaging Wrap,Retail,6,2.29,10,87.57,2.97,1.12
Recycled Plastic,Component Tray,Electronics,3,14.43,1,87.79,2.94,2.94
Cardboard,Power Bank Box,Electronics,3,0.6,10,83.87,2.62,1.74
Kraft Paper,Toothpaste Tube,Personal Care,5,0.2,9,75.56,2.54,1.48
Bioplastic (PLA),Razor Packaging,Personal Care,5,0.13,8,79.49,3.75,1.15
Recycled Plastic,Syringe Packaging,Pharmaceuticals,9,26.71,1,73.73,1.67,2.75
Recycled Plastic,Pet Food Bag,Pet Care,9,9.24,2,74.35,1,3.5
Kraft Paper,Snack Packaging,Food & Beverage,4,10.69,7,76.4,2.01,0.74
HDPE Plastic,Syringe Packaging,Pharmaceuticals,4,4.75,3,56.18,3.29,2.95
Recycled Plastic,Wet Wipes Pack,Household,10,0.47,3,88.93,1.8,2.61
Bamboo,Cosmetic Packaging Box,Cosmetics,10,3.19,7,56.64,3.9,0.72
Aluminum,Perfume Bottle,Cosmetics,7,3.65,1,90.49,2.46,1.55
HDPE Plastic,Conditioner Bottle,Personal Care,4,0.39,3,70.85,2.3,3.78
Recycled Plastic,Dishwash Liquid Bottle,Household,4,1.29,3,77.62,2.46,2.26
Kraft Paper,Produce Bag,Agriculture,5,0.61,10,89.13,2.99,0.98
Aluminum,Medicine Bottle,Pharmaceuticals,9,1.78,3,89.12,2.92,2.02
HDPE Plastic,Shampoo Bottle,Personal Care,5,0.55,3,56.61,2.92,4.93
Bioplastic (PLA),Garbage Bag,Household,4,23.99,10,69.36,2.33,0.37
Aluminum,Face Wash Tube,Personal Care,7,0.19,1,92.55,1.69,2.36
Corrugated Cardboard,Cosmetic Packaging Box,Cosmetics,8,28.49,10,87.79,2.4,0.8
Aluminum,Perfume Bottle,Cosmetics,8,4.37,1,89.39,1.97,1.91
Kraft Paper,Soap Bar Wrapper,Personal Care,7,0.11,8,83.58,1.47,0.63
Bagasse Fiber,Seedling Tray,Agriculture,7,25.52,8,79.16,2.69,1.08
HDPE Plastic,Cooking Oil Bottle,Food & Beverage,7,2.38,3,50.51,3.29,4.98
Bagasse Fiber,Garbage Bag,Household,6,21.78,8,79.63,1.84,0.53
Recycled Plastic,Shopping Bag,Retail,5,8.7,3,83.83,1.06,2.32
PET Plastic,Shampoo Bottle,Personal Care,10,0.7,1,52.08,1.7,2.55
PP Plastic,Syringe Packaging,Pharmaceuticals,6,10.27,2,67.29,2.73,3.28
Recycled Plastic,Body Lotion Bottle,Personal Care,3,0.45,2,86.22,2.96,3.35
PP Plastic,Toothpaste Tube,Personal Care,5,0.14,2,58.42,3.5,3.51
PET Plastic,Dishwash Liquid Bottle,Household,4,1.06,1,59.32,2.31,3.17
Bioplastic (PLA),Soap Bar Wrapper,Personal Care,5,0.16,8,75.56,2.02,0.53
Bagasse Fiber,Shopping Bag,Retail,6,4.87,10,70.65,2.19,1.33
HDPE Plastic,Bubble Wrap,Logistics,6,1.07,2,66.07,1.81,3
Kraft Paper,Coffee Pouch,Food & Beverage,6,1.13,9,78.98,2.37,1.31
PP Plastic,Syringe Packaging,Pharmaceuticals,7,11.65,1,73.81,2.46,4.33
PET Plastic,Earphone Box,Electronics,9,0.16,1,54.34,1.84,2.67
PP Plastic,Bubble Wrap,Logistics,8,4.12,2,69.8,2.11,2.94
Glass,Yogurt Cup,Food & Beverage,7,0.19,2,89.7,5.07,4.29
HDPE Plastic,Sterile Wrap,Healthcare,10,3.99,3,63.71,1.73,3.24
PP Plastic,Yogurt Cup,Food & Beverage,9,0.54,2,55.13,3.16,2.94
Aluminum,Toothpaste Tube,Personal Care,10,0.18,1,90.87,2.67,2.49
PET Plastic,Blister Pack,Retail,3,31.98,1,72.52,1.67,2.87
Bagasse Fiber,Garbage Bag,Household,4,11.8,9,82.68,1.62,1.28
Bioplastic (PLA),Yogurt Cup,Food & Beverage,5,0.58,10,63.84,2.07,0.94
PP Plastic,Syringe Packaging,Pharmaceuticals,7,14.12,2,69.91,1.55,3.09
Recycled Plastic,Tissue Box,Household,5,0.33,1,74.82,1.93,3.01
Cardboard,Charger Adapter Box,Electronics,3,0.25,9,78.31,1.89,0.62
Aluminum,Cream Jar,Cosmetics,7,3.46,3,94.6,1.58,2.48
Recycled Plastic,Yogurt Cup,Food & Beverage,7,0.58,2,85.96,2.38,3.44
HDPE Plastic,Cooking Oil Bottle,Food & Beverage,8,4,1,51.94,2.28,3.34
Jute,Produce Bag,Agriculture,6,4.18,9,61.08,3.76,0.52
Aluminum,Industrial Drum,Chemicals,7,50.49,3,87.47,3.47,1.75
Bioplastic (PLA),Butter Tub,Food & Beverage,8,0.76,8,83.75,3.15,1.31
PP Plastic,Sterile Wrap,Healthcare,10,5.77,3,68.33,1.64,3.77
PP Plastic,Chemical Storage Bottle,Chemicals,4,4.92,3,52.73,1.92,4.93
Kraft Paper,Tissue Box,Household,7,0.23,7,82.17,2.45,1.05
Recycled Plastic,Cereal Box,Food & Beverage,7,0.68,2,75.16,1.32,3.41
Cardboard,Charger Adapter Box,Electronics,8,0.21,10,84.77,2.98,1.66
Recycled Plastic,Cereal Box,Food & Beverage,8,0.92,1,84.95,2.62,2.6
Recycled Plastic,Fertilizer Bag,Agriculture,6,9.53,2,73.53,1.56,3.03
Recycled Plastic,Sauce Bottle,Food & Beverage,3,1.02,3,70.74,2.77,3.2
Bioplastic (PLA),Garbage Bag,Household,10,12.78,10,74.16,2.19,1.26
Kraft Paper,Smartwatch Box,Electronics,4,0.35,9,89.8,2.76,1.56
Glass,Honey Jar,Food & Beverage,7,0.33,1,86.28,4.76,4.19
Kraft Paper,Sugar Pouch,Food & Beverage,9,4.55,7,71.85,2.12,0.54
Cardboard,Phone Box,Electronics,4,12.85,10,82.62,2.92,1.07
PET Plastic,Earphone Box,Electronics,6,0.2,2,51.74,1.59,2.59
Molded Pulp,Seedling Tray,Agriculture,6,9.35,10,81.37,2.88,1.41
Molded Pulp,Earphone Box,Electronics,3,0.21,10,82.91,1.64,0.6
Molded Pulp,Instant Noodle Cup,Food & Beverage,5,0.35,10,69.73,1.66,0.58
Aluminum,Industrial Drum,Chemicals,8,90.27,2,92.33,2.43,1.75
Bioplastic (PLA),Produce Bag,Agriculture,9,7.84,8,82.94,2.72,0.85
Recycled Plastic,Cream Jar,Cosmetics,4,1.24,3,88.48,2.01,1.99
Recycled Plastic,Earphone Box,Electronics,10,0.13,2,73.54,2.83,3.26
Steel,Industrial Drum,Chemicals,10,18.5,1,69.12,8.34,4.29
Aluminum,Conditioner Bottle,Personal Care,8,0.6,3,90.83,2.44,1.84
Molded Pulp,Seedling Tray,Agriculture,5,24.38,10,78.05,2.19,1.14
PP Plastic,Food Container,Food & Beverage,4,16.25,3,60.05,2.96,4.45
PP Plastic,Fertilizer Bag,Agriculture,4,1.92,1,53.45,1.82,3.19
Cardboard,Yogurt Cup,Food & Beverage,6,0.22,9,83.91,2.36,1.21
Molded Pulp,Phone Box,Electronics,6,16.35,9,81.21,2.1,0.54
Corrugated Cardboard,Cosmetic Packaging Box,Cosmetics,6,9.08,8,87.83,2.7,1.99
Steel,Beverage Can,Food & Beverage,9,1.23,1,64.77,5.98,4.22
PET Plastic,Perfume Bottle,Cosmetics,7,2.63,3,79.38,2.02,3.88
Cardboard,Razor Packaging,Personal Care,4,0.07,9,82.56,2.68,0.72
Kraft Paper,Toothpaste Tube,Personal Care,7,0.27,9,74.52,2.1,1.29
Recycled Plastic,Snack Packaging,Food & Beverage,7,29.26,2,88.4,1.54,2.24
PET Plastic,Sauce Bottle,Food & Beverage,5,0.56,3,65.81,1.68,3.89
HDPE Plastic,Syringe Packaging,Pharmaceuticals,10,22.49,2,74.59,2.41,3.4
Bagasse Fiber,Egg Carton,Food & Beverage,8,1.26,9,74.06,3.31,1.16
PET Plastic,Face Wash Tube,Personal Care,10,0.31,1,62.48,2.11,5.28
Corrugated Cardboard,Smartwatch Box,Electronics,10,0.47,7,74.24,1.7,0.81
Aluminum,Spray Bottle,Cosmetics,10,0.41,2,86.39,2,2.23
Aluminum,Lipstick Tube,Cosmetics,8,2.43,1,93.93,3.11,2.14
Recycled Plastic,Garbage Bag,Household,4,27.16,2,78.2,2.65,3.02
Bagasse Fiber,Wet Wipes Pack,Household,8,0.59,9,66.73,3.34,1.36
Aluminum,Cooking Oil Bottle,Food & Beverage,8,3.61,1,89.36,2.72,2.18
Molded Pulp,Medical Device Box,Healthcare,3,14.44,10,75.64,1.76,1.36
Corrugated Cardboard,Tissue Box,Household,5,0.36,9,80.79,1.82,1.36
Recycled Plastic,Garbage Bag,Household,9,27.11,2,74.5,1.84,2.16
Aluminum,Chocolate Wrapper,Food & Beverage,8,0.08,1,85.33,3.48,1.85
Cardboard,Cereal Box,Food & Beverage,7,0.61,9,83.4,1.51,1.63
Kraft Paper,Fertilizer Bag,Agriculture,3,1.27,8,70.51,2.56,0.69
Kraft Paper,Toothpaste Tube,Personal Care,7,0.16,7,89.5,2.67,0.95
Kraft Paper,Gift Box,Retail,8,5.92,7,78.45,2.98,1.95
Bioplastic (PLA),Cereal Box,Food & Beverage,6,0.97,8,72.24,2.87,0.65
Kraft Paper,Earphone Box,Electronics,3,0.1,8,84.62,2.82,1.87
Kraft Paper,Paper Carry Bag,Retail,4,7,10,78.2,1.13,1.59
Bagasse Fiber,Soap Bar Wrapper,Personal Care,5,0.16,10,77.43,1.59,0.61
Recycled Plastic,Milk Carton,Food & Beverage,10,1.6,2,75.71,2.23,3.46
Bioplastic (PLA),Shampoo Bottle,Personal Care,5,0.67,10,74.92,2.67,1.23
Bagasse Fiber,Tea Pouch,Food & Beverage,6,0.52,9,77.4,2.7,1.35
PET Plastic,Beverage Can,Food & Beverage,7,4.5,1,55.05,2.66,5.43
PP Plastic,Instant Noodle Cup,Food & Beverage,5,0.38,2,69.52,2.54,3.43
Bagasse Fiber,Juice Carton,Food & Beverage,5,14.01,10,82.57,1.89,1.44
Bioplastic (PLA),Paper Carry Bag,Retail,9,4.83,8,73.58,3.02,0.41
PP Plastic,Fertilizer Bag,Agriculture,3,1.35,3,55.3,3.29,4.72
Recycled Plastic,Fertilizer Bag,Agriculture,3,0.61,1,80.61,1.91,3.02
Kraft Paper,Paper Carry Bag,Retail,7,6.41,10,79.78,1.26,0.88
Kraft Paper,Shipping Box,Logistics,9,19.06,9,75.26,1.37,0.97
Recycled Plastic,Snack Packaging,Food & Beverage,7,8.35,3,81.3,1.18,2.33
Cardboard,Smartwatch Box,Electronics,10,0.17,7,81.85,1.16,1.65
PP Plastic,Seedling Tray,Agriculture,6,11.96,1,58.04,2.99,3.45
Bioplastic (PLA),Bread Bag,Food & Beverage,4,1.08,8,61.89,2.57,0.41
Glass,Body Lotion Bottle,Personal Care,7,0.48,1,88.94,5.93,5.12
PP Plastic,Snack Packaging,Food & Beverage,3,28.76,3,60.69,2.97,3.34
PP Plastic,Bread Bag,Food & Beverage,9,0.42,3,65.42,2.32,4.8
Molded Pulp,Laptop Packaging Box,Electronics,7,7.97,8,65.61,1.54,0.84
Bagasse Fiber,Pizza Box,Food & Beverage,8,11.99,8,84.41,3.05,1.48
HDPE Plastic,Medicine Bottle,Pharmaceuticals,3,2,1,78.45,1.52,4.26
Recycled Plastic,Sugar Pouch,Food & Beverage,7,4.34,1,82.81,1.18,2.42
Cardboard,Food Container,Food & Beverage,4,35.45,10,70.78,2.67,1.43
PP Plastic,Ice Cream Tub,Food & Beverage,6,0.49,1,68.46,2.45,3.34
Recycled Plastic,Heavy Crate,Logistics,7,48.99,3,86.11,1.97,3.17
PP Plastic,Food Container,Food & Beverage,9,34.61,1,53.23,1.7,4.01
Tempered Glass,Pharma Vial,Pharmaceuticals,9,1.81,1,88.34,4.88,4.93
Cardboard,Yogurt Cup,Food & Beverage,5,0.39,9,89.28,1.03,1.58
Kraft Paper,Tissue Box,Household,7,0.39,7,80,2.29,0.76
Kraft Paper,Earphone Box,Electronics,3,0.1,8,86.84,2.35,1.32
Recycled Plastic,Lipstick Tube,Cosmetics,7,1.33,3,87.68,1.4,3.14
PP Plastic,Deodorant Stick,Personal Care,9,0.14,3,58.05,2.66,2.69
Recycled Plastic,Gift Box,Retail,6,9.94,3,70.26,2.88,3.23
PP Plastic,Garbage Bag,Household,6,7.56,2,69.91,2.16,3.57
PP Plastic,Tea Pouch,Food & Beverage,7,0.25,1,55.44,3.15,3.95
Bioplastic (PLA),Body Lotion Bottle,Personal Care,5,0.74,10,71.59,2.94,1.35
Cardboard,Food Container,Food & Beverage,8,5.17,10,74.98,2.15,0.6
HDPE Plastic,Chemical Storage Bottle,Chemicals,5,2.61,2,56.69,2.32,3.32
Aluminum,Industrial Drum,Chemicals,10,64.41,1,90.34,2.28,1.85
Aluminum,Sauce Bottle,Food & Beverage,9,0.84,1,88.24,3,2.41
Recycled Plastic,Bubble Wrap,Logistics,7,0.33,1,74.23,2.3,1.95
Aluminum,Medicine Bottle,Pharmaceuticals,8,1.14,3,91.55,2.04,1.85
Kraft Paper,Shopping Bag,Retail,5,1.75,10,83.12,1.17,1.68
Recycled Plastic,Shopping Bag,Retail,5,3.53,3,73.19,1.75,2.33
Bamboo,Gift Box,Retail,8,15.95,10,73.62,4.62,0.69
HDPE Plastic,Sauce Bottle,Food & Beverage,5,0.73,2,61.35,2.08,4.83
PET Plastic,Conditioner Bottle,Personal Care,6,0.49,2,68.06,2.66,4.74
PP Plastic,Fertilizer Bag,Agriculture,9,4.69,2,58.78,1.75,4.97
Cardboard,Razor Packaging,Personal Care,6,0.09,8,73.39,1.97,1.55
HDPE Plastic,Shampoo Bottle,Personal Care,9,0.46,1,55.96,1.51,4.95
Jute,Fertilizer Bag,Agriculture,3,5.16,9,67.13,3.19,1.32
Aluminum,Cream Jar,Cosmetics,7,0.57,2,93.73,2.25,2.34
Glass,Chemical Storage Bottle,Chemicals,6,0.59,2,88.07,6.15,4.14
Kraft Paper,Sugar Pouch,Food & Beverage,10,3.21,9,83.9,2.62,0.92
Cardboard,Blister Pack,Retail,10,9.92,7,89.61,1.48,1.67
Cardboard,Deodorant Stick,Personal Care,4,0.2,8,76.33,2.95,0.89
Bagasse Fiber,Produce Bag,Agriculture,8,9.72,9,77.92,1.81,1.38
Aluminum,Pharma Vial,Pharmaceuticals,9,3.76,3,92.03,3.25,2.44
HDPE Plastic,Body Lotion Bottle,Personal Care,7,0.73,3,55.67,3.29,4.52
Recycled Plastic,Ice Cream Tub,Food & Beverage,4,0.62,3,84.08,1.15,2.47
Aluminum,Face Wash Tube,Personal Care,9,0.33,3,92.62,2.16,2.03
Bioplastic (PLA),Syringe Packaging,Pharmaceuticals,3,16.64,8,73.01,2.37,0.43
Bagasse Fiber,Wet Wipes Pack,Household,6,0.74,9,78.37,3.27,0.72
Bagasse Fiber,Sugar Pouch,Food & Beverage,3,3.32,9,77.2,3.11,1.29
Glass,Spray Bottle,Cosmetics,7,3.46,1,74,4.59,4.74
Bioplastic (PLA),Sterile Wrap,Healthcare,5,0.35,9,67.23,3.34,0.55
Bioplastic (PLA),Seedling Tray,Agriculture,8,15.65,8,80.41,2.32,0.87
Jute,Fertilizer Bag,Agriculture,4,7.34,8,57.21,4.58,0.73
HDPE Plastic,Body Lotion Bottle,Personal Care,6,0.51,3,66.63,2.55,4.7
Jute,Shopping Bag,Retail,8,9.19,9,69.24,3.59,1
Molded Pulp,Phone Box,Electronics,7,23.91,10,71.5,1.68,0.64
HDPE Plastic,Cooking Oil Bottle,Food & Beverage,8,4.26,3,74.4,2.47,4.76
Bagasse Fiber,Produce Bag,Agriculture,5,2.66,9,78.08,2.43,1.05
Recycled Plastic,Juice Carton,Food & Beverage,6,7.55,1,78.69,2.74,1.86
PET Plastic,Dishwash Liquid Bottle,Household,4,0.95,2,73.41,2.35,4.75
Bioplastic (PLA),Cream Jar,Cosmetics,5,2.47,9,63.63,2.93,1.23
Glass,Yogurt Cup,Food & Beverage,8,0.21,1,71.85,4.1,5.55
Cardboard,Phone Box,Electronics,10,26.95,7,79.63,1.64,1.67
Cardboard,Instant Noodle Cup,Food & Beverage,10,0.37,7,71.42,1.86,0.89
Mushroom Packaging,Pizza Box,Food & Beverage,4,6.28,9,82.4,3.69,0.68
PP Plastic,Face Wash Tube,Personal Care,7,0.18,1,50.42,2.23,3.18
Recycled Plastic,Water Bottle,Food & Beverage,4,3.99,3,75.54,2.18,3.32
Bioplastic (PLA),Butter Tub,Food & Beverage,7,0.39,9,80.07,3.09,0.48
PP Plastic,Yogurt Cup,Food & Beverage,4,0.39,3,61.75,2.08,3.69
Cardboard,Butter Tub,Food & Beverage,7,0.27,7,82.7,1.34,0.61
Kraft Paper,Chocolate Wrapper,Food & Beverage,9,0.28,8,71.15,1.24,1.19
Bagasse Fiber,Milk Carton,Food & Beverage,7,1.08,10,66.99,3.21,0.4
Bioplastic (PLA),Juice Carton,Food & Beverage,7,8.51,9,67.74,2.4,1.39
PET Plastic,Floor Cleaner Bottle,Household,8,1.59,2,58.31,2.08,3.86
PP Plastic,Pharma Vial,Pharmaceuticals,10,1.1,2,69.06,3.01,3.67
Bioplastic (PLA),Face Wash Tube,Personal Care,8,0.15,8,66.79,2.9,1.08
PP Plastic,Tea Pouch,Food & Beverage,8,0.58,1,71.5,2.22,3.31
Cardboard,Laundry Detergent Box,Household,4,1.34,7,89.39,2.61,1.45
Recycled Plastic,Toilet Cleaner Bottle,Household,8,0.6,1,83.71,1.27,3.15
HDPE Plastic,Toilet Cleaner Bottle,Household,4,0.56,3,60.78,3.19,2.66
PET Plastic,Body Lotion Bottle,Personal Care,6,0.38,1,74.46,3.28,4.06
HDPE Plastic,Body Lotion Bottle,Personal Care,5,0.74,3,58.72,3.46,5.38
Wood,Gift Box,Retail,10,8.89,8,51.88,6.09,2.01
Bioplastic (PLA),Syringe Packaging,Pharmaceuticals,9,19,8,68.62,3.57,0.53
Kraft Paper,Toothpaste Tube,Personal Care,9,0.1,8,75.07,1.94,1.24
Kraft Paper,Earphone Box,Electronics,5,0.25,10,76.83,2.12,1.29
Bagasse Fiber,Wet Wipes Pack,Household,5,0.65,8,82.46,1.59,1.34
Cardboard,Milk Carton,Food & Beverage,10,1.9,9,77.8,2,1.81
Recycled Plastic,Tea Pouch,Food & Beverage,10,0.25,3,74.68,1.74,1.79
PET Plastic,Toilet Cleaner Bottle,Household,8,0.91,2,66.95,3.24,2.57
Glass,Beverage Can,Food & Beverage,10,3.67,2,80.35,4.08,3.62
Recycled Plastic,Garbage Bag,Household,7,25.37,1,73.17,2.63,3.01
Recycled Plastic,Medicine Bottle,Pharmaceuticals,10,4.49,3,78.81,1.32,1.9
PP Plastic,Instant Noodle Cup,Food & Beverage,10,0.24,3,71.08,2.26,4.58
Kraft Paper,Laundry Detergent Box,Household,10,1.14,10,78.05,2.84,0.57
Bioplastic (PLA),Sugar Pouch,Food & Beverage,6,3.56,10,60.81,2.88,1.16
Molded Pulp,Egg Carton,Food & Beverage,7,1.51,9,83.89,2.92,0.87
Kraft Paper,Medical Device Box,Healthcare,6,28.63,9,74.38,2.68,0.85
Kraft Paper,Sugar Pouch,Food & Beverage,3,1.36,7,80.63,1.37,0.69
Corrugated Cardboard,Cereal Box,Food & Beverage,4,0.84,7,82.36,2.36,1.08
Bioplastic (PLA),Face Wash Tube,Personal Care,8,0.12,8,70.32,3.53,1
PET Plastic,Sauce Bottle,Food & Beverage,10,0.84,1,79.37,2.21,3.88
Kraft Paper,Juice Carton,Food & Beverage,6,4.83,10,71.95,2.71,0.99
HDPE Plastic,Body Lotion Bottle,Personal Care,8,0.73,2,72.61,3.43,4.84
Molded Pulp,Phone Box,Electronics,5,2.13,10,71.14,2.24,0.49
Kraft Paper,Toothpaste Tube,Personal Care,3,0.19,7,82.45,2.61,1.76
Corrugated Cardboard,Shipping Box,Logistics,3,1.79,10,81.92,2.96,2
HDPE Plastic,Chemical Storage Bottle,Chemicals,4,2.57,3,60.8,3.39,3.77
Recycled Plastic,Pallet Wrap,Logistics,6,3.74,3,77.83,2.42,2.66
Kraft Paper,Book Packaging Wrap,Retail,6,0.94,8,77.25,1.08,0.84
Kraft Paper,Toothpaste Tube,Personal Care,10,0.22,8,87.36,1.59,0.74
Wood,Gift Box,Retail,7,14.43,8,65.47,7.04,2.93
Jute,Shopping Bag,Retail,3,0.91,10,62.05,3.52,0.87
Cardboard,Soap Bar Wrapper,Personal Care,7,0.14,7,86.11,1.68,0.58
Glass,Yogurt Cup,Food & Beverage,5,0.26,1,90.39,4.81,4.39
Glass,Spray Bottle,Cosmetics,8,3.33,1,91.16,4.71,4.66
Recycled Plastic,Soap Bar Wrapper,Personal Care,8,0.14,1,73.99,1.74,2.5
Recycled Plastic,Chocolate Wrapper,Food & Beverage,8,0.16,2,84.36,1.34,2.41
Cardboard,Soap Bar Wrapper,Personal Care,9,0.19,8,74.42,2.46,1.25
Recycled Plastic,Seedling Tray,Agriculture,10,2.06,3,73.71,1.78,2.22
Glass,Butter Tub,Food & Beverage,4,0.44,1,74.88,6.22,3.29
Bagasse Fiber,Pizza Box,Food & Beverage,6,7.43,10,76.15,2.19,1.04
Aluminum,Heavy Crate,Logistics,8,49.4,2,89.34,1.92,2.38
Molded Pulp,Egg Carton,Food & Beverage,6,0.88,10,73.34,3.18,1.08
Kraft Paper,Bread Bag,Food & Beverage,10,0.42,8,88.93,2.95,1.93
Bioplastic (PLA),Toothpaste Tube,Personal Care,10,0.12,10,79.96,2.65,0.66
Recycled Plastic,Tissue Box,Household,6,0.42,3,75.06,2.13,2.31
Recycled Plastic,Garbage Bag,Household,7,21.03,2,80.11,2.04,2.54
Recycled Plastic,Component Tray,Electronics,7,15.18,3,87.16,1.52,2.89
HDPE Plastic,Toilet Cleaner Bottle,Household,4,0.32,3,79.66,3.05,5.04
Cardboard,Gift Box,Retail,4,11.52,10,89.91,1.34,1.1
Cardboard,Tissue Box,Household,6,0.12,8,76.71,1.95,1.75
Glass,Chemical Storage Bottle,Chemicals,9,3.21,1,79.98,6.3,5.53
PP Plastic,Wet Wipes Pack,Household,5,0.17,3,67.22,2.53,4.34
Aluminum,Chemical Storage Bottle,Chemicals,10,3.31,1,91.08,2.98,1.85
Aluminum,Chemical Storage Bottle,Chemicals,10,3.43,3,85.12,1.85,2.31
Bagasse Fiber,Tea Pouch,Food & Beverage,8,0.36,9,66.09,2.49,0.5
Corrugated Cardboard,Laptop Packaging Box,Electronics,9,21.04,7,72.44,1.99,0.91
Recycled Plastic,Fertilizer Bag,Agriculture,8,1.94,2,82.28,2.36,1.67
Tempered Glass,Perfume Bottle,Cosmetics,8,2.84,2,85.56,3.22,5.66
Jute,Paper Carry Bag,Retail,5,9.44,9,72.15,4.43,1.36
PET Plastic,Pill Blister Pack,Pharmaceuticals,6,24.59,1,73.71,2.23,2.69
Mushroom Packaging,Pizza Box,Food & Beverage,7,1.46,10,83.77,3.15,0.73
Recycled Plastic,Cream Jar,Cosmetics,5,1.05,2,73.57,2.85,3.02
HDPE Plastic,Honey Jar,Food & Beverage,10,0.51,2,72.88,3,3.91
Kraft Paper,Phone Box,Electronics,3,13.16,9,74.12,2.09,1.09
Bioplastic (PLA),Face Wash Tube,Personal Care,4,0.25,10,60.88,2.07,0.33
HDPE Plastic,Pallet Wrap,Logistics,5,8.69,3,64.76,1.9,4.68
HDPE Plastic,Garbage Bag,Household,8,14.06,3,55.5,2.59,3.93
Recycled Plastic,Component Tray,Electronics,6,19.75,3,82.63,1.77,2.22
Aluminum,Sauce Bottle,Food & Beverage,8,1.5,1,89.93,2.83,2.23
Glass,Pharma Vial,Pharmaceuticals,5,0.17,1,94.38,5.86,3.24
Recycled Plastic,Cream Jar,Cosmetics,4,1.4,2,87.52,1.87,2.57
Bioplastic (PLA),Conditioner Bottle,Personal Care,9,0.27,8,80.2,2.43,0.86
Bioplastic (PLA),Sterile Wrap,Healthcare,8,9.1,8,77.06,2,0.74
Bagasse Fiber,Wet Wipes Pack,Household,8,0.22,8,67.47,2.79,1.14
Recycled Plastic,Cosmetic Packaging Box,Cosmetics,4,9.76,3,72.97,2.53,1.64
Recycled Plastic,Shipping Box,Logistics,10,5.32,2,73.87,1.48,1.63
Jute,Shopping Bag,Retail,8,3.56,10,68.27,3.13,1.49
Recycled Plastic,Garbage Bag,Household,8,7.08,3,85.98,1.2,2.15
Recycled Plastic,Industrial Drum,Chemicals,8,33.57,3,79.09,2.77,2.58
Kraft Paper,Wet Wipes Pack,Household,5,0.28,10,87.12,1.41,0.99
HDPE Plastic,Medicine Bottle,Pharmaceuticals,9,4.59,3,58.18,3.33,4.71
PET Plastic,Medicine Bottle,Pharmaceuticals,6,2.85,1,51.25,2.09,5.21
Recycled Plastic,Blister Pack,Retail,9,26.45,2,82.25,1.65,2.21
Jute,Produce Bag,Agriculture,4,1.35,10,69.52,2.3,0.87
Steel,Industrial Drum,Chemicals,4,13.9,1,82.54,7.76,4.92
Glass,Body Lotion Bottle,Personal Care,5,0.34,1,74.04,6.62,4.54
Molded Pulp,Phone Box,Electronics,3,28.72,9,77.07,2.25,0.79
HDPE Plastic,Syringe Packaging,Pharmaceuticals,8,7.05,3,72.06,2.95,3.22
HDPE Plastic,Cooking Oil Bottle,Food & Beverage,7,4,1,65.42,3.46,3.21
PET Plastic,Razor Packaging,Personal Care,9,0.12,1,78.15,2.78,3.59
Jute,Produce Bag,Agriculture,3,2.26,8,64.25,4.17,0.8
Recycled Plastic,Bubble Wrap,Logistics,7,0.83,2,85.49,2.29,3.24
Bioplastic (PLA),Toothpaste Tube,Personal Care,4,0.26,9,67.05,2.73,0.53
Recycled Plastic,Ice Cream Tub,Food & Beverage,7,0.85,1,78.67,2.06,2.4
Bioplastic (PLA),Instant Noodle Cup,Food & Beverage,8,0.23,10,62.88,2.92,0.93
Corrugated Cardboard,Heavy Crate,Logistics,6,72.76,8,76.07,1.49,1.7
Recycled Plastic,Pet Food Bag,Pet Care,7,11.45,1,86.68,2.74,3.44
PP Plastic,Pharma Vial,Pharmaceuticals,8,4.99,2,56.84,2.49,4.78
Kraft Paper,Medical Device Box,Healthcare,9,17.14,8,76.73,1.52,0.88
Glass,Sauce Bottle,Food & Beverage,8,0.44,1,86.93,5.59,3.18
PP Plastic,Coffee Pouch,Food & Beverage,6,1.04,3,73.65,1.91,4.97
Foam,Laptop Packaging Box,Electronics,5,18.44,10,69.89,3.99,1.18
Recycled Plastic,Shipping Box,Logistics,5,12.58,2,72.1,2.37,3.06
Kraft Paper,Juice Carton,Food & Beverage,4,11.62,10,85.09,1.89,1.39
Kraft Paper,Juice Carton,Food & Beverage,7,10.79,9,84.88,2.42,0.85
Molded Pulp,Smartwatch Box,Electronics,8,0.29,9,84.67,2.01,1.32
Aluminum,Toothpaste Tube,Personal Care,7,0.1,3,90.15,2.58,1.86
Recycled Plastic,Coffee Pouch,Food & Beverage,3,0.39,3,89.51,2.45,3.33
Aluminum,Lipstick Tube,Cosmetics,7,3.42,3,89.45,2.19,1.95
Cardboard,Gift Box,Retail,6,25.72,9,86.62,2.49,0.91
Glass,Chemical Storage Bottle,Chemicals,9,0.17,1,74.19,4.46,3.93
PP Plastic,Coffee Pouch,Food & Beverage,10,1.11,1,50.49,1.96,2.56
Bioplastic (PLA),Hair Oil Bottle,Personal Care,7,0.16,9,82.43,2.27,0.6
Recycled Plastic,Garbage Bag,Household,7,11.81,3,86.45,1.84,2.39
PP Plastic,Seedling Tray,Agriculture,6,8.2,3,74.98,3.13,3.53
Kraft Paper,Tea Pouch,Food & Beverage,3,0.34,9,82,1.48,1.38
Cardboard,Book Packaging Wrap,Retail,7,2.09,10,80.25,2.19,1.13
