material_type,product_type,industry,strength,weight_capacity,biodegradability_score,recyclability,cost,co2_emission
Bagasse Fiber,Clothing Box,Textiles,5,12.23,10,70.9,0.9,0.462
PLA Bioplastic,Garment Bag,Textiles,7,18.26,8,54.62,1.84,1.295
Corrugated Cardboard,Cream Jar,Cosmetics,8,19.16,8,86.18,1.19,0.817
Recycled PET,Cream Jar,Cosmetics,9,26.31,3,86.72,3.31,2.099
Kraft Paper,Makeup Box,Cosmetics,7,12.81,9,90.8,0.99,0.569
Recycled PET,Cosmetic Tube,Cosmetics,8,25.01,2,92.79,3.17,2.1
Mushroom Packaging,Hardware Container,Construction,7,16.23,9,68.69,2.99,0.362
Recycled PET,Beverage Bottle,Food Packaging,9,25.27,3,92.63,3.66,2.162
Aluminum,Syringe Pack,Healthcare,9,33.16,2,95.22,3.44,3.566
Mushroom Packaging,Mobile Box,Electronics,5,15.15,9,67.23,2.44,0.38
PLA Bioplastic,Beverage Bottle,Food Packaging,9,14.69,8,54.44,2.68,1.169
Glass,Assembly Kit Box,Furniture,9,38.25,1,98.98,5.96,1.762
Kraft Paper,Syringe Pack,Healthcare,7,7.15,8,90.78,1.37,0.669
Aluminum,Hardware Container,Construction,9,20.24,2,96.73,3.61,3.412
Recycled PET,Appliance Carton,Home Appliances,10,17.06,4,92.9,1.99,2.188
Recycled PET,Hardware Container,Construction,9,23.32,4,85.01,2.72,2.112
Recycled PET,Clothing Box,Textiles,8,26.66,2,89.19,3.35,2.072
Corrugated Cardboard,Spare Parts Box,Automotive,9,19.96,7,91.62,1.24,0.918
Aluminum,Furniture Carton,Furniture,10,22.12,1,99.91,3.95,3.553
Aluminum,Electronic Blister Pack,Electronics,10,21.13,1,99.42,5.01,3.541
Kraft Paper,Pizza Box,Food Packaging,4,10.37,10,91.25,0.73,0.51
Recycled PET,Tile Packaging,Construction,10,20.39,3,92.76,3.65,2.103
Bagasse Fiber,Tile Packaging,Construction,7,12.37,8,76.12,1.49,0.497
Mushroom Packaging,Board Game Box,Toys,6,14.86,9,64.06,1.95,0.442
Corrugated Cardboard,Appliance Carton,Home Appliances,9,31.67,8,89.51,1.18,0.788
Mushroom Packaging,Tile Packaging,Construction,5,16.58,9,78.29,2.95,0.399
Mushroom Packaging,Medical Container,Healthcare,5,13.43,10,63.27,1.49,0.388
Mushroom Packaging,Assembly Kit Box,Furniture,5,12.65,9,68.87,1.65,0.47
PLA Bioplastic,Syringe Pack,Healthcare,7,9.91,6,59.05,2.9,1.166
Corrugated Cardboard,Medicine Box,Healthcare,6,12.48,9,82.96,0.76,0.848
Corrugated Cardboard,Electronic Blister Pack,Electronics,7,17.17,7,81.25,1.35,0.822
Bagasse Fiber,Laptop Box,Electronics,6,7.46,8,84.58,1.78,0.479
Kraft Paper,Tablet Blister Pack,Healthcare,4,13.01,10,86.95,0.89,0.633
Glass,TV Carton,Electronics,10,34.28,2,95.92,4.58,1.777
Corrugated Cardboard,Appliance Carton,Home Appliances,8,12.74,7,87.55,0.84,0.772
Recycled PET,Foam Insert Package,Home Appliances,10,19.73,3,91.52,2.88,2.079
Mushroom Packaging,Assembly Kit Box,Furniture,6,16.26,9,72.44,2.06,0.458
Kraft Paper,Appliance Carton,Home Appliances,6,5.11,8,92.25,1.09,0.612
Kraft Paper,Mobile Box,Electronics,5,10.15,10,89.85,0.47,0.549
Recycled PET,Protective Box,Home Appliances,9,16.87,3,93.87,2.93,2.098
Mushroom Packaging,Garment Bag,Textiles,7,14.84,10,79.12,1.63,0.406
Kraft Paper,Syringe Pack,Healthcare,4,6.74,10,87.36,0.63,0.549
Bagasse Fiber,Mobile Box,Electronics,7,13.09,9,73.31,1.17,0.478
Glass,Fabric Wrap,Textiles,9,26.96,1,99.88,2.73,1.839
Bagasse Fiber,Oil Container,Automotive,6,11.37,8,76.52,2.2,0.447
Kraft Paper,Spare Parts Box,Automotive,4,9.97,9,85.66,0.64,0.541
PLA Bioplastic,Spare Parts Box,Automotive,8,15.41,8,52.38,2.85,1.215
Mushroom Packaging,Tile Packaging,Construction,5,11.67,9,64.52,3.43,0.382
Glass,Clothing Box,Textiles,9,26.77,2,98.24,4.29,1.836
Mushroom Packaging,Syringe Pack,Healthcare,7,10.49,9,65.68,1.53,0.286
PLA Bioplastic,Action Figure Pack,Toys,6,11.85,7,54.13,1.75,1.174
Kraft Paper,Takeaway Container,Food Packaging,5,7.59,8,86.91,1.26,0.587
Bagasse Fiber,Appliance Carton,Home Appliances,5,13.59,9,74.35,1.42,0.516
Corrugated Cardboard,Hardware Container,Construction,6,20.96,9,88.76,0.63,0.792
Glass,Battery Packaging,Automotive,9,21.97,1,95.39,4.23,1.887
Bagasse Fiber,Mobile Box,Electronics,5,6.28,9,82.62,2.24,0.446
Recycled PET,Hardware Container,Construction,9,27.96,2,91.21,3.49,2.089
PLA Bioplastic,Board Game Box,Toys,9,13.04,6,63.21,1.35,1.185
Recycled PET,Appliance Carton,Home Appliances,10,29.87,3,91.02,3.18,2.124
PLA Bioplastic,Protective Box,Home Appliances,6,13.2,8,63.02,1.44,1.112
Recycled PET,Action Figure Pack,Toys,10,18.32,3,94.42,2.05,2.062
Bagasse Fiber,Laptop Box,Electronics,6,8.01,8,81.57,2.29,0.44
Corrugated Cardboard,Cream Jar,Cosmetics,6,17.76,7,81.08,0.87,0.818
Recycled PET,Assembly Kit Box,Furniture,10,19.45,2,93.42,2.16,2.17
Recycled PET,Protective Cushioning Pack,Furniture,8,21.79,4,92.44,1.5,2.134
Mushroom Packaging,Foam Insert Package,Home Appliances,6,9.4,10,75.98,3.2,0.392
PLA Bioplastic,Cement Liner Bag,Construction,6,12.01,6,67.46,2.59,1.202
PLA Bioplastic,Beverage Bottle,Food Packaging,8,16.09,7,52.65,2.25,1.176
PLA Bioplastic,Pizza Box,Food Packaging,8,18.45,6,65.21,2.5,1.329
PLA Bioplastic,Spare Parts Box,Automotive,9,19.39,8,61.54,1.3,1.207
Glass,Mobile Box,Electronics,10,28.24,2,98.95,3.83,1.778
Recycled PET,Cement Liner Bag,Construction,9,22.47,3,89.6,2.38,2.107
Mushroom Packaging,Pizza Box,Food Packaging,7,9.53,10,69.15,1.42,0.487
Mushroom Packaging,Action Figure Pack,Toys,7,14.42,9,61.52,2.32,0.389
Bagasse Fiber,Mobile Box,Electronics,5,10.83,8,72.69,2.37,0.467
Aluminum,Mobile Box,Electronics,10,21.38,2,99.62,2.62,3.562
Bagasse Fiber,Battery Packaging,Automotive,7,8.27,9,75.05,1.3,0.52
Recycled PET,Furniture Carton,Furniture,8,28.49,3,92.05,2.02,2.11
Bagasse Fiber,Protective Cushioning Pack,Furniture,7,11.88,8,84.63,1.2,0.476
Bagasse Fiber,Fabric Wrap,Textiles,5,8.87,8,76.43,2.34,0.431
Bagasse Fiber,Clothing Box,Textiles,7,10.33,8,75.9,1.6,0.534
PLA Bioplastic,Toy Box,Toys,7,17.49,8,62.47,1.93,1.199
Glass,Fabric Wrap,Textiles,10,32.53,1,96.08,5.04,1.784
Aluminum,Battery Packaging,Automotive,10,30.22,1,97.18,2.96,3.445
PLA Bioplastic,Appliance Carton,Home Appliances,6,10.14,7,63.34,1.97,1.269
PLA Bioplastic,Perfume Bottle,Cosmetics,7,12.1,6,53.15,1.86,1.199
Recycled PET,Food Tray,Food Packaging,8,20.99,3,91.11,2.99,2.166
Kraft Paper,Protective Box,Home Appliances,4,9.77,10,86.04,1.5,0.558
PLA Bioplastic,Action Figure Pack,Toys,8,9.84,6,63.58,2.54,1.199
PLA Bioplastic,Protective Box,Home Appliances,9,15.03,6,52.62,1.8,1.246
Aluminum,Food Tray,Food Packaging,9,23.71,2,95.47,4.98,3.408
Recycled PET,Makeup Box,Cosmetics,8,15.76,4,85.42,1.93,2.055
Corrugated Cardboard,Electronic Blister Pack,Electronics,7,26.06,8,89.65,0.55,0.684
Bagasse Fiber,Tile Packaging,Construction,7,11.15,8,81.9,1.15,0.499
Corrugated Cardboard,Clothing Box,Textiles,9,10.47,9,83.87,1.01,0.845
Recycled PET,Foam Insert Package,Home Appliances,8,28.54,4,85.74,2.78,2.098
PLA Bioplastic,Clothing Box,Textiles,6,8.27,6,59.69,2.23,1.191
Kraft Paper,Garment Bag,Textiles,6,12.45,10,87.96,1.39,0.591
Bagasse Fiber,Toy Box,Toys,5,11.36,10,78.45,1.67,0.465
Corrugated Cardboard,Clothing Box,Textiles,9,34.74,9,88.95,1.25,0.801
Aluminum,Mobile Box,Electronics,8,23.74,1,97.8,2.65,3.469
Corrugated Cardboard,Cement Liner Bag,Construction,8,25.02,9,89.48,0.55,0.774
Kraft Paper,Battery Packaging,Automotive,7,9.86,10,85.11,0.96,0.555
Bagasse Fiber,Food Tray,Food Packaging,7,8.03,10,84.53,1.54,0.576
PLA Bioplastic,Foam Insert Package,Home Appliances,9,9.84,7,59.63,2.68,1.136
Aluminum,Action Figure Pack,Toys,8,31.08,1,99.64,2.98,3.553
Glass,Medical Container,Healthcare,10,20.29,1,95.73,2.1,1.735
Corrugated Cardboard,Oil Container,Automotive,8,30.58,9,87.57,1.17,0.888
Bagasse Fiber,Laptop Box,Electronics,6,7.15,8,84.34,1.2,0.525
Recycled PET,Food Tray,Food Packaging,9,20.92,3,85.55,1.62,2.101
Aluminum,Cosmetic Tube,Cosmetics,8,31.79,1,95.36,4.67,3.478
Bagasse Fiber,Action Figure Pack,Toys,6,11.78,8,76.58,0.99,0.436
Glass,TV Carton,Electronics,10,37.84,2,95.73,4.43,1.744
PLA Bioplastic,TV Carton,Electronics,6,10.72,6,66.17,1.56,1.171
Corrugated Cardboard,Furniture Carton,Furniture,6,10.36,9,90.1,0.76,0.758
Mushroom Packaging,Protective Cushioning Pack,Furniture,7,9.55,9,77.75,2.07,0.396
Glass,Fabric Wrap,Textiles,10,27.86,1,99.61,5.21,1.808
PLA Bioplastic,Garment Bag,Textiles,7,18.12,7,69.75,1.78,1.259
Bagasse Fiber,Tablet Blister Pack,Healthcare,7,14.72,10,81.76,2.08,0.538
PLA Bioplastic,Hardware Container,Construction,8,16.97,7,53.35,1.25,1.225
Corrugated Cardboard,Foam Insert Package,Home Appliances,7,21.96,7,87.96,1.66,0.722
PLA Bioplastic,Medical Container,Healthcare,6,15.74,7,69.45,1.47,1.205
Mushroom Packaging,Food Tray,Food Packaging,6,16.21,9,68.31,2.76,0.542
PLA Bioplastic,Medical Container,Healthcare,7,17.49,8,66.81,2.13,1.177
Mushroom Packaging,Furniture Carton,Furniture,7,11.18,9,69.94,3.34,0.402
Kraft Paper,Assembly Kit Box,Furniture,5,9.17,9,86.33,0.76,0.599
Glass,Medical Container,Healthcare,9,33.03,1,95.51,2.26,1.72
Corrugated Cardboard,Assembly Kit Box,Furniture,7,30.45,7,80.67,0.53,0.727
PLA Bioplastic,Beverage Bottle,Food Packaging,8,19.72,6,66.36,2.65,1.261
Glass,Pizza Box,Food Packaging,10,36.09,2,99.61,4.1,1.747
Aluminum,Pizza Box,Food Packaging,8,20.98,2,95.35,4.83,3.48
Glass,Protective Box,Home Appliances,10,30.49,1,99.49,2.94,1.808
Glass,Appliance Carton,Home Appliances,9,28.9,2,98.99,3.38,1.78
Corrugated Cardboard,Cosmetic Tube,Cosmetics,6,32.73,9,85.29,0.55,0.838
Corrugated Cardboard,Cement Liner Bag,Construction,9,28.3,7,82.59,1.94,0.814
PLA Bioplastic,Appliance Carton,Home Appliances,7,17.85,6,65.68,2.34,1.198
Bagasse Fiber,Protective Cushioning Pack,Furniture,5,7.84,9,75.5,2.39,0.529
Corrugated Cardboard,Appliance Carton,Home Appliances,6,18.07,9,86.1,0.9,0.891
Glass,Takeaway Container,Food Packaging,9,31.75,1,97.86,4.45,1.875
Recycled PET,TV Carton,Electronics,9,23.82,3,88.26,3.2,2.036
Recycled PET,Syringe Pack,Healthcare,9,29.52,2,90.27,2.29,2.158
Aluminum,Furniture Carton,Furniture,9,22.92,1,98.36,5.04,3.43
Mushroom Packaging,TV Carton,Electronics,7,14.02,9,79.65,3.38,0.423
Aluminum,Mobile Box,Electronics,9,24.53,2,95.23,5.15,3.504
Bagasse Fiber,TV Carton,Electronics,6,10.6,8,71.65,2.06,0.468
Aluminum,Hardware Container,Construction,10,32.11,1,96.71,3.33,3.453
Kraft Paper,Action Figure Pack,Toys,4,8.9,10,94.38,0.64,0.639
PLA Bioplastic,Oil Container,Automotive,6,18.14,7,55.08,2.93,1.113
Mushroom Packaging,Toy Box,Toys,5,13.18,10,72.66,1.22,0.422
Aluminum,Furniture Carton,Furniture,8,28.27,2,98.49,4.65,3.42
Bagasse Fiber,Cream Jar,Cosmetics,6,13.21,10,73.28,2.0,0.495
Corrugated Cardboard,Tile Packaging,Construction,9,33.62,8,90.43,1.43,0.705
PLA Bioplastic,Electronic Blister Pack,Electronics,7,16.27,6,64.72,2.98,1.186
PLA Bioplastic,Spare Parts Box,Automotive,6,10.77,7,66.22,1.62,1.1
Recycled PET,Tablet Blister Pack,Healthcare,9,20.48,4,90.49,2.35,2.039
Glass,Mobile Box,Electronics,9,28.23,2,97.7,2.32,1.783
PLA Bioplastic,Furniture Carton,Furniture,8,15.16,7,60.85,1.89,1.206
Bagasse Fiber,Laptop Box,Electronics,5,13.77,8,70.33,1.24,0.498
Mushroom Packaging,Beverage Bottle,Food Packaging,5,14.7,10,76.34,1.99,0.358
Mushroom Packaging,Beverage Bottle,Food Packaging,7,13.14,10,60.22,3.12,0.457
Aluminum,Laptop Box,Electronics,8,30.06,1,98.77,5.31,3.481
Mushroom Packaging,Medical Container,Healthcare,6,16.57,9,78.2,1.63,0.396
Kraft Paper,Action Figure Pack,Toys,6,14.55,10,94.88,0.75,0.635
Bagasse Fiber,Tile Packaging,Construction,5,11.8,10,78.59,2.38,0.551
Recycled PET,Clothing Box,Textiles,8,19.97,2,90.06,1.65,2.14
Recycled PET,Garment Bag,Textiles,10,22.47,2,91.25,1.73,2.147
Aluminum,Tablet Blister Pack,Healthcare,10,34.58,2,96.02,2.99,3.525
PLA Bioplastic,Tile Packaging,Construction,6,19.29,6,64.23,2.19,1.215
Recycled PET,Spare Parts Box,Automotive,8,21.62,2,89.89,1.88,2.108
Aluminum,Assembly Kit Box,Furniture,9,22.94,2,95.49,5.4,3.499
Bagasse Fiber,Toy Box,Toys,7,8.32,10,72.95,1.56,0.491
Aluminum,Makeup Box,Cosmetics,9,31.74,2,96.88,4.0,3.451
Recycled PET,Laptop Box,Electronics,8,27.32,4,87.24,2.12,2.052
PLA Bioplastic,Takeaway Container,Food Packaging,6,8.76,6,60.62,1.94,1.146
Aluminum,Tablet Blister Pack,Healthcare,9,22.75,1,97.86,4.49,3.502
Kraft Paper,Protective Box,Home Appliances,7,7.36,9,85.29,1.2,0.693
Glass,Toy Box,Toys,10,33.74,2,96.16,5.02,1.772
Kraft Paper,Makeup Box,Cosmetics,5,5.62,10,91.94,0.99,0.587
PLA Bioplastic,Board Game Box,Toys,9,12.17,6,66.49,2.81,1.206
Kraft Paper,Tablet Blister Pack,Healthcare,6,13.45,8,94.75,1.28,0.553
Recycled PET,Makeup Box,Cosmetics,10,17.36,3,88.1,3.39,2.04
Recycled PET,Electronic Blister Pack,Electronics,9,22.34,2,89.44,1.64,2.091
PLA Bioplastic,Fabric Wrap,Textiles,9,11.7,6,60.68,1.01,1.193
Corrugated Cardboard,Mobile Box,Electronics,6,13.64,9,80.83,0.82,0.761
Bagasse Fiber,Action Figure Pack,Toys,7,10.56,10,81.43,1.93,0.577
Corrugated Cardboard,Furniture Carton,Furniture,7,10.94,9,84.54,1.12,0.83
Mushroom Packaging,Battery Packaging,Automotive,7,15.67,9,72.46,2.13,0.402
PLA Bioplastic,Cosmetic Tube,Cosmetics,6,12.49,8,67.29,2.77,1.327
Aluminum,Toy Box,Toys,10,30.28,1,98.55,5.19,3.446
Mushroom Packaging,Makeup Box,Cosmetics,7,10.99,9,63.89,3.29,0.314
Aluminum,Oil Container,Automotive,9,28.89,1,95.92,3.44,3.438
Mushroom Packaging,Protective Box,Home Appliances,5,8.75,9,63.59,2.79,0.38
PLA Bioplastic,Assembly Kit Box,Furniture,6,15.73,8,51.22,1.54,1.269
Mushroom Packaging,Hardware Container,Construction,7,10.63,9,73.97,1.64,0.416
Aluminum,Perfume Bottle,Cosmetics,10,20.25,1,98.42,3.05,3.563
Recycled PET,Furniture Carton,Furniture,10,25.24,4,93.69,2.36,2.056
Mushroom Packaging,Oil Container,Automotive,5,15.25,10,73.37,2.19,0.386
Glass,Protective Box,Home Appliances,9,27.76,2,99.46,5.32,1.865
Recycled PET,Action Figure Pack,Toys,10,25.12,4,90.26,1.8,2.06
Glass,Medical Container,Healthcare,9,30.03,1,95.59,4.94,1.779
Recycled PET,Garment Bag,Textiles,8,15.48,2,92.12,2.83,2.025
Recycled PET,Toy Box,Toys,8,27.48,4,90.2,2.22,2.115
Kraft Paper,Battery Packaging,Automotive,5,7.43,9,85.66,0.89,0.575
Mushroom Packaging,Spare Parts Box,Automotive,7,8.78,10,66.17,1.89,0.431
Bagasse Fiber,Pizza Box,Food Packaging,7,8.54,9,70.67,1.81,0.49
PLA Bioplastic,Toy Box,Toys,7,15.88,7,65.67,1.87,1.18
Bagasse Fiber,Laptop Box,Electronics,7,13.97,9,75.48,1.08,0.496
Aluminum,Toy Box,Toys,9,22.79,2,98.92,2.85,3.526
Corrugated Cardboard,Board Game Box,Toys,9,33.75,9,85.86,1.32,0.818
Bagasse Fiber,Oil Container,Automotive,5,14.91,9,74.33,2.33,0.486
Aluminum,Clothing Box,Textiles,8,32.3,2,96.07,3.53,3.401
Bagasse Fiber,Spare Parts Box,Automotive,7,10.19,9,79.83,2.05,0.464
Mushroom Packaging,Tablet Blister Pack,Healthcare,5,14.08,10,68.18,2.71,0.35
Glass,Board Game Box,Toys,9,22.22,1,97.14,5.73,1.767
Aluminum,Mobile Box,Electronics,8,29.54,2,99.87,4.96,3.44
Aluminum,Food Tray,Food Packaging,10,29.2,2,97.68,4.2,3.535
PLA Bioplastic,Medical Container,Healthcare,9,17.82,7,54.35,2.31,1.249
Bagasse Fiber,Mobile Box,Electronics,5,8.06,9,75.67,2.33,0.511
Mushroom Packaging,Food Tray,Food Packaging,5,14.99,9,62.26,2.12,0.431
Mushroom Packaging,Hardware Container,Construction,5,9.27,9,62.9,1.95,0.402
Kraft Paper,Tile Packaging,Construction,7,11.55,9,93.58,0.31,0.564
PLA Bioplastic,Oil Container,Automotive,8,11.39,7,57.72,2.65,1.167
Kraft Paper,Garment Bag,Textiles,4,9.29,9,85.58,1.26,0.605
PLA Bioplastic,Oil Container,Automotive,6,14.51,6,57.61,1.21,1.101
Corrugated Cardboard,Pizza Box,Food Packaging,9,24.85,7,88.72,1.37,0.779
PLA Bioplastic,Garment Bag,Textiles,9,19.31,6,69.35,1.93,1.212
Bagasse Fiber,Garment Bag,Textiles,5,6.56,10,70.32,1.0,0.544
Glass,Takeaway Container,Food Packaging,10,21.32,1,95.66,5.92,1.809
Corrugated Cardboard,Cement Liner Bag,Construction,6,34.49,7,84.04,0.82,0.687
Glass,Battery Packaging,Automotive,10,35.55,1,97.26,2.27,1.729
Corrugated Cardboard,Medical Container,Healthcare,6,33.21,9,87.17,1.39,0.806
Glass,Cosmetic Tube,Cosmetics,9,27.49,2,97.8,4.96,1.842
PLA Bioplastic,Garment Bag,Textiles,7,10.61,7,69.31,1.06,1.189
Corrugated Cardboard,Action Figure Pack,Toys,8,15.27,7,91.4,1.49,0.718
Recycled PET,Appliance Carton,Home Appliances,10,24.58,3,87.72,2.83,2.114
Kraft Paper,Battery Packaging,Automotive,4,13.67,8,94.89,0.42,0.757
Glass,Garment Bag,Textiles,9,21.33,1,97.85,2.69,1.783
Mushroom Packaging,Appliance Carton,Home Appliances,7,8.91,9,78.25,2.51,0.371
Recycled PET,Protective Box,Home Appliances,10,19.47,2,86.66,2.24,2.026
Mushroom Packaging,Oil Container,Automotive,5,11.32,9,69.86,3.36,0.425
Kraft Paper,Appliance Carton,Home Appliances,6,14.98,8,94.53,1.28,0.623
Corrugated Cardboard,Beverage Bottle,Food Packaging,6,29.42,9,87.3,1.98,0.785
Corrugated Cardboard,Laptop Box,Electronics,6,21.72,8,80.38,0.89,0.759
PLA Bioplastic,Protective Box,Home Appliances,9,12.17,6,53.34,2.94,1.162
Mushroom Packaging,Pizza Box,Food Packaging,7,8.78,9,76.82,2.19,0.405
Corrugated Cardboard,Food Tray,Food Packaging,7,27.69,9,89.69,1.02,0.789
PLA Bioplastic,Oil Container,Automotive,6,15.78,7,69.63,1.1,1.177
PLA Bioplastic,Takeaway Container,Food Packaging,7,19.5,7,61.21,1.11,1.219
Mushroom Packaging,Takeaway Container,Food Packaging,7,14.21,10,77.77,2.79,0.353
Glass,Fabric Wrap,Textiles,10,23.79,2,98.87,3.83,1.842
Aluminum,Cream Jar,Cosmetics,10,27.33,1,97.06,3.18,3.549
Kraft Paper,Cement Liner Bag,Construction,6,5.61,10,86.68,1.04,0.607
Aluminum,Tile Packaging,Construction,8,22.9,2,98.23,3.26,3.516
Recycled PET,TV Carton,Electronics,9,21.16,4,88.87,2.94,2.094
Bagasse Fiber,Food Tray,Food Packaging,6,9.14,8,84.43,1.41,0.53
Bagasse Fiber,Garment Bag,Textiles,7,10.54,8,71.27,2.2,0.583
PLA Bioplastic,Tablet Blister Pack,Healthcare,9,18.99,8,59.15,2.64,1.239
Corrugated Cardboard,Fabric Wrap,Textiles,8,20.07,9,88.59,1.22,0.811
Corrugated Cardboard,Protective Box,Home Appliances,7,14.1,8,81.96,1.03,0.787
Mushroom Packaging,Makeup Box,Cosmetics,5,8.7,10,77.99,2.03,0.481
Glass,Cement Liner Bag,Construction,10,29.53,1,96.73,5.22,1.834
Bagasse Fiber,Garment Bag,Textiles,6,10.55,8,80.91,1.36,0.403
Bagasse Fiber,Toy Box,Toys,7,10.36,8,83.12,1.16,0.504
Kraft Paper,Fabric Wrap,Textiles,4,10.84,9,93.66,0.4,0.614
PLA Bioplastic,Mobile Box,Electronics,8,18.44,6,52.32,1.93,1.265
Recycled PET,Toy Box,Toys,9,21.45,4,90.95,2.71,2.033
Corrugated Cardboard,Tablet Blister Pack,Healthcare,9,11.2,8,82.89,1.76,0.809
Recycled PET,Hardware Container,Construction,9,25.5,4,91.12,2.05,2.078
Recycled PET,Takeaway Container,Food Packaging,9,15.88,2,87.87,2.45,2.16
Kraft Paper,Food Tray,Food Packaging,7,11.7,10,92.98,1.27,0.628
Glass,Oil Container,Automotive,10,38.31,2,99.89,5.29,1.782
Kraft Paper,TV Carton,Electronics,5,12.96,8,93.44,0.76,0.58
PLA Bioplastic,Protective Cushioning Pack,Furniture,7,16.34,8,53.92,1.92,1.112
Aluminum,Perfume Bottle,Cosmetics,9,25.7,2,97.78,3.41,3.552
Recycled PET,Electronic Blister Pack,Electronics,9,23.68,2,86.05,3.83,2.088
PLA Bioplastic,Toy Box,Toys,8,13.41,7,65.08,1.24,1.228
Bagasse Fiber,TV Carton,Electronics,6,7.33,9,71.56,2.39,0.55
Mushroom Packaging,Perfume Bottle,Cosmetics,5,13.88,10,62.93,2.77,0.463
Bagasse Fiber,Beverage Bottle,Food Packaging,6,6.64,10,78.79,1.7,0.449
Aluminum,Assembly Kit Box,Furniture,10,26.15,1,99.9,2.6,3.407
PLA Bioplastic,Food Tray,Food Packaging,8,10.34,8,60.16,1.95,1.167
PLA Bioplastic,Makeup Box,Cosmetics,9,11.2,7,66.1,1.82,1.244
Kraft Paper,Tile Packaging,Construction,6,6.32,8,92.25,0.49,0.615
Bagasse Fiber,Syringe Pack,Healthcare,5,7.43,10,82.58,1.92,0.487
Glass,Cream Jar,Cosmetics,9,38.03,1,96.29,5.88,1.794
Corrugated Cardboard,Takeaway Container,Food Packaging,7,32.77,8,89.64,1.34,0.773
Corrugated Cardboard,Board Game Box,Toys,7,12.51,8,88.85,1.57,0.863
Bagasse Fiber,TV Carton,Electronics,5,10.96,10,75.93,0.92,0.49
Recycled PET,Garment Bag,Textiles,9,24.43,4,92.02,2.54,2.147
Recycled PET,Cement Liner Bag,Construction,8,23.5,2,93.76,1.79,2.13
Aluminum,Cream Jar,Cosmetics,8,26.48,2,97.53,4.34,3.542
Kraft Paper,TV Carton,Electronics,5,7.31,10,94.95,1.43,0.63
Aluminum,Foam Insert Package,Home Appliances,8,33.44,2,99.85,4.49,3.48
Recycled PET,Fabric Wrap,Textiles,9,15.51,3,91.4,1.69,2.131
Corrugated Cardboard,Toy Box,Toys,8,18.83,8,90.71,1.03,0.749
Kraft Paper,Assembly Kit Box,Furniture,6,14.56,9,91.01,0.96,0.635
Mushroom Packaging,Fabric Wrap,Textiles,7,14.53,10,66.67,2.13,0.406
Mushroom Packaging,Assembly Kit Box,Furniture,7,14.29,9,78.46,3.12,0.42
Corrugated Cardboard,Appliance Carton,Home Appliances,8,10.99,7,90.26,1.72,0.798
Kraft Paper,Garment Bag,Textiles,7,7.58,10,91.31,1.03,0.626
Kraft Paper,Cosmetic Tube,Cosmetics,6,8.64,8,92.92,0.75,0.671
Recycled PET,Foam Insert Package,Home Appliances,10,24.98,2,89.15,2.14,2.139
PLA Bioplastic,Takeaway Container,Food Packaging,9,9.83,8,50.84,1.21,1.197
Mushroom Packaging,Toy Box,Toys,7,13.96,10,71.73,2.02,0.306
Bagasse Fiber,Appliance Carton,Home Appliances,7,6.04,8,76.62,1.5,0.466
Mushroom Packaging,Foam Insert Package,Home Appliances,7,11.3,10,63.8,2.75,0.324
Recycled PET,Spare Parts Box,Automotive,9,19.32,4,87.41,3.15,2.143
Kraft Paper,Furniture Carton,Furniture,5,5.45,9,93.35,0.38,0.588
Bagasse Fiber,Assembly Kit Box,Furniture,7,14.1,10,77.53,1.47,0.531
Mushroom Packaging,Electronic Blister Pack,Electronics,5,8.66,9,69.84,1.62,0.359
Recycled PET,Pizza Box,Food Packaging,9,20.09,3,90.2,1.89,2.15
Bagasse Fiber,Mobile Box,Electronics,7,10.24,8,73.69,2.21,0.354
Recycled PET,Foam Insert Package,Home Appliances,10,22.72,3,93.15,1.6,2.066
Glass,Electronic Blister Pack,Electronics,9,23.09,1,97.82,3.68,1.794
Recycled PET,Cream Jar,Cosmetics,10,15.15,2,88.09,1.92,2.043
PLA Bioplastic,Tablet Blister Pack,Healthcare,8,14.97,7,59.33,2.76,1.147
PLA Bioplastic,Clothing Box,Textiles,6,9.93,8,56.9,2.11,1.222
Aluminum,Tablet Blister Pack,Healthcare,10,22.79,1,95.57,3.19,3.503
Corrugated Cardboard,Fabric Wrap,Textiles,6,14.33,7,88.77,1.25,0.792
PLA Bioplastic,Pizza Box,Food Packaging,8,16.2,7,61.68,2.46,1.21
Aluminum,Tile Packaging,Construction,9,34.24,1,98.75,5.37,3.525
Glass,Garment Bag,Textiles,10,20.59,2,95.56,2.88,1.758
Aluminum,Battery Packaging,Automotive,9,32.64,2,98.87,5.16,3.599
Kraft Paper,Fabric Wrap,Textiles,7,14.99,10,94.8,1.42,0.592
Aluminum,Toy Box,Toys,8,26.79,2,98.33,5.25,3.613
Glass,Medicine Box,Healthcare,10,31.94,2,98.42,4.54,1.844
Mushroom Packaging,Appliance Carton,Home Appliances,7,14.48,9,69.32,2.65,0.414
Mushroom Packaging,Board Game Box,Toys,5,12.67,9,74.61,2.13,0.395
Mushroom Packaging,Protective Box,Home Appliances,6,15.91,9,65.3,2.93,0.408
Corrugated Cardboard,Medical Container,Healthcare,9,19.57,7,90.43,1.3,0.749
Bagasse Fiber,Battery Packaging,Automotive,7,8.62,9,75.88,1.95,0.504
Bagasse Fiber,Garment Bag,Textiles,7,14.63,10,81.06,1.53,0.517
Glass,Garment Bag,Textiles,10,34.75,2,97.61,4.93,1.802
